,Wizkid,Davido,Burnaboy
7418,"“How you gonna win when you ain't right within?” Lauryn Hill 

“You can’t shine if you got hate in your heart” Wizkid…","Davido was... And  is the only African artist to sell out the 02 Venue 
 Davidoat02  30BG ","3 years ago today,  released his ""Outside"" album.

💥 Delivered the biggest song of Burna Boy's career, ""YE""
🏆 'B…"
7419, And she was gold digging clout chaser,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","3 years ago today  dropped this absolute gem 

What was your favorite track(s) ?? 🤔 "
7420,"“One good thing about music, when it hits you,you  feel no pain” Bob Marley 

“You see this music,It gets you excited,…","No be me write am o 😂😂 na smade the show organizer for both Davido and wizKid.
Davido02 ", Heavens gate issa masterpiece
7421,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…","27/01/2019 —  became the youngest African act to single-handedly sell out the ""O2 Arena"", UK🇬🇧.
OnThisDay 
Davi…","Burna Boy - Heavens Gate.

"
7422,This WizKid album is GOLD,"How to make a  song! 

Accurate? 

Imma need the whole 30BG to tag him! ", Burna boy u are rude 😒
7423, I would run!!!!!!!!, I need a RT from     for this timeless freestyle I recorded wi… ," I really don't care no more
Just drop that tune 😭😭😭😭 "
7424," I bet if he was matched with a Taylor from DC type, this would be a different storyline.",The journey of a thousand miles begins with a step ..now look at mayorkun with the best Davido 🖤🥰..can’t wait for tomorrow!!…,       Guy his album isn't even worth it.
7425, Horrible! Omggggg. If I was Paige I would get the marriage annulled QUICK.,"These Artistes wall drawing deserves a million RTS 🤯🔥 (A Thread)

1. Davido ","Exactly 3 years ago today,  released his 3rd studio album ""Outside"".

Tell us your favorite tracks from this wo…"
7426,"Top Ten Most Streamed Nigerian Record Label songs on Spotify.

1. Starboy -soco- 50,377,350
2. Starboy ft.Wizkid &amp; Dunca…",".'s SHOPPING SPREE Ft  And   Now Has 1.5 Million Streams On Pandora

~ It Is The Most Streame…",I cant be the only one who doesnt have a single psquare (working together ot seperated) track on my music player. 🤔… 
7427,"WizKid will perform a leak song and A 20K capacity venue will sing word for word.

Do am if e easy", Amen🥰🙏,Which Duo do you prefer Davido and BurnaBoy or Wizkid and BurnaBoy MplugNg 
7428,"Ngl, Wizkid and Tems gave us the best collabo by a Naija male and female in a long time. 👍","Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…",BURNA BEST PROJECT DONT @ ME 
7429,  Lol wizkid can’t look ur side or feat you  so stop familiarity mama olumu  roro. machala4live,"1️⃣Davido - 20k capacity
2️⃣Wizkid - 14k capacity 
3️⃣Burnaboy- ❌❌
DavidoAt02 ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7430,"Me: I'm addicted Wizkid Songs. How can I stop?

Therapist: You need to find True Love &amp; SMILE always 

Me: …","A Better Time &amp; A Good Time by Davido are both really good albums and you can’t make me choose one. it’s impossible, too many…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7431, Listen he ain’t! He’s going to be a Zach. He gonna treat that girl like Mindy!,"This can only be done by the 001 of Afrobeat in Africa (Davido) 🐐🇳🇬👑
Reply and RT with Davidoat02 ",Still bangs! 
7432,Wizkid () ,"Performed my Latest single JOWO off ABT  at the 
hennessyartistry2020 ","Wizkid FC AUDIOMACK INVADERS👇🏻🔥🔥🦅
Nowplaying GINGER by Wizkid feat Burnaboy via the  app
…"
7433,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…", No disrespect but no-one calls someone arrogant for being the best; One's attitude speaks volumes. One can be the…,"Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
7434,I waiting on Chris to be honest that he doesn’t find Paige attractive, I need a RT from     for this timeless freestyle I recorded w… ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7435,Inside Wizkid's album, 🤣,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7436, He is why Chris is the way he is!,"Performed my Latest single JOWO off ABT  at the 
hennessyartistry2020 ", 8.5/10 . 
7437,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",Davido AYE entrance at the 02arena is the biggest show entrance in the world Davidoat02,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7438,"   Werey 🤣
Even if this is true, it's called business
Imagine if wizkid paid N27.5m and waited 4…",   Da_vido chifu master sumtin fishy, 
7439,Wizkid’s album has stayed longer on Uk 🇬🇧 album chart than most of y’all relationship 😂😂😂! I don’t Stan rubbish.,     Was  show @ the O2 arena sold out?,"NIGERIAN ARTISTES ON US APPLE MUSIC 📈 

88*  Made In Lagos 

347*  AyraStarrEP

393*  A Be…"
7440,Ghetto love is Wizkid most underrated song and it one of his best songs.,As we wait for Davido’s Album make una manage lowbudjetobo 😂😂😂😂 ,The best. 
7441,WizKid did what he had to do on Made In Lagos,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,Still a dope project till the end 
7442,The replay value on Wizkid’s Made In Lagos is unbelievable,  You will boss follow me am following back 💯 no cheating,👀🔥 Rare footage of  freestyling at University in 2009!  
7443,Slow sex with wizkid Album 🥺❤️,"Now Playing Burna Boy ft. Wizkid &amp; Davido - Sugar.
Listen here: ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7444,Wizkid’s most recent album is actually GOLD,"Subscribe To ’s YouTube Channel❤️
30BG
",👀🔥 Rare footage of  freestyling at University in 2009!  
7445,"Wizkid needs to tell us what he put inside MIL, how can an album be so good😭","Performed my Latest single JOWO off ABT  at the 
hennessyartistry2020 ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7446,"three things about wizkid's new album - made in lagos
1) it's absolutely delicious! 😋
2) it's straight up vibessss!! 🥰🕺🏾…", OBO 4L!❤️,Baby ❤️ Sch Candy Crush Adedayo Ayoade Mariam her Royal Majesty. Wish you longlife and prosperity in all ramificati… 
7447,"eu  🤝 novo álbum do Wizkid

","30BG let's encourage the new Ghana fanpage for Davido!
It just started today  🇬🇭❤
500 followers before th…","Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
7448,Wizkid album always puts me in a good mood,"These Artistes wall drawing deserves a million RTS 🤯🔥 (A Thread)

1. Davido ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7449,Wizkid’s Essence ft Tems is my favorite song this week. Yeah I don’t need no other body 😍💕🙌🏽,     Was wizkid's show at the o2 sold out?,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7450,Wizkid album is top tier!  😩💙, Na dia way,My GOAT ❤️
7451,I know you're gonna air this but Wizkid God bless you for blessing my ears with the MIL album,". On Apple Music🇬🇭:
1. Jowo
5. Activate
12. The Best
14. Holy Ground
19. FEM
51. Maserati
66. Something Fishy
69.…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7452,"If you have addiction problems, please don't try that new Wizkid album.",  OBO,    follow for follow ✅✔️ interested persons🙏😚
7453,I hope whoever sequenced Wizkid's album had a great Monday.,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","NP Dangote -  on the DriveZone with  and  

TrippyTuesday DriveZoneIB… "
7454,there is something beautiful about Ayo album. Wizkid dedicated two tracks to his mum (Joy &amp; mummy mi) 🥺❤️,"Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…", My tune forever!❤️💯
7455,Still obsessed with WizKid album 😍,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,   follow for follow ✅✔️ interested persons🙏😚
7456,smh wizkid &amp; tems really went brazy on essence,"Beautiful people on twitter, here is my pen sketch of  which I drew last year.
Please retweet🙏🏾

CHEWOL silho…",Three years ago  dropped this gem! And the rest they say is history . 
7457,I still got that Wizkid album on repeat,"The new version of Nigeria president  lol.
I am just 24 years now old but trust me eeeh by this next year this man mi…",       follow for follow ✅✔️ interested persons🙏😚
7458,Everything wizkid said in “SWEET ONE” ,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",THE ALBUM 💪🏾 
7459,"If I’ve not said it already, Wizkid’s album is top tier",Davido’s album is really good.,  follow for follow ✅✔️ interested persons🙏😚
7460,Sweet one by Wizkid off Made In Lagos is still one of my favorite track on the album,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,You’re a wonderful musician and a box of talent. 
7461,Wizkid did his thang on this album,  Sold me out  with  when next you doing that again Biko💯🙏💪,    follow for follow ✅✔️ interested persons🙏😚
7462,Wizkid has my favorite album of 2021 so far,🙌,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7463,How wizkid step on STAGE yesterday. This is CLASS. My best moment had to be how Jada passed the cup to wizkid. She loves wizki…,Main of DMW  &amp;   DMW 30BG ,"   Omooo...no be 18years old face i dey see for that video oo,make una the reduce dis lie nah"
7464,I really like wizkid album 🤩,"Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7465,Still bump WizKid’s album. It’s fire 🔥,Now Playing On Carpe Diem Live Radio Sean Kingston - Peace of Mind  ft. Tory Lanez &amp; Davido seedamoment  musicizworldwide,      follow for follow ✅✔️ interested persons🙏😚
7466,"Wizkid's made in Lagos out now ➡️
🎼🎶🎼🎶
",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7467,That part! ,DAVIDO IS NOT HUMAN! ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7468,Tell them we never stopped listening to our fav Wizkid’s album since it dropped 🔥🦅,  Na this guy is a genius!,      follow for follow ✅✔️ interested persons🙏😚
7469,l’album de Wizkid a été l’album de l’année 2020,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7470,"“Roma” Gbedu go drop, say Erima go dance’ Wizkid embrace his up growing artiste Terri in art &amp; in action by letting hi…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7471,"Link to STAR BOY- soco ft wizkid x terri x spotless x ceeza milli
♥ ♥ 👇🎼🎶
 ", I need a RT from     for this timeless freestyle I recorded wit… ,  follow for follow ✅✔️ interested persons🙏😚
7472,"But Wizkid’s legwork in Ginger Video🥵
Bobo yen get swag die🥰😁",       ,  Go alone😐
7473,Wizkid handpicked the featured artistes on his album to create a classic.🦅,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,      I say make he check again
7474,"“One good thing about music, when it hits you,you  feel no pain” Bob Marley 

“You see this music,It gets you excited,…",  Davido nko ..? 💁🏿‍♂️, This tape was underrated ❤️🔥
7475,Chris Daddy keeps licking his lips at Paige!,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",The beginning of the most unprecedented run in modern Nigerian music.
7476,I’ve been bumping Bob Marley and Wizkid all day... love that for me., Na true ooh,   a classic !
7477,Made in Lagos is a top tier album fosho ehh🔥. Omwana Wizkid ayimba 🕺🏼💃, I need a RT from     for this timeless freestyle I recorded wit… ," Our SUPERMARKET/PHARMACEUTICAL SHELVES are top quality, standard and affordable 💯

Nationwide Delivery ✔️
(DM for d…"
7478,Wizkid's Made in Lagos album is crazy,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","Throwback to when Burnaboy's YE got Rihanna in her feelings..
outside

🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥 "
7479,Wizkid was definitely in his comfort zone when he was recording blessed,  You should get creative with your articles. Richest of 2021? Really? 🌛,Black Southafricans xenophobia loading     … 
7480,Wizkid's Made in Lagos is a Top Top album. No miss just good music and good sounds 🥺☺️,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",     30bleeding 💔💔
7481,Check wizkid album - Made in Lagos ,"“AYE” by  has 4,500,000+ Pandora streams🏆

30BG","Please bia , don’t rap . No come this side . Dey where you dey bros. Whaaaat ! 🔥🔥🔥"
7482,"  No one is coming for Nicki so calm your balls

The tweet is talking about the fact that… ", ♥️,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7483,“Made in Lagos” album by Wizkid is crazy!,davido spent over £60k on visas and flights  just to get his people to his concert at the o2 Arena. he said even his cook w…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7484,Made in Lagos by Wizkid is a masterpiece 🎻💯,"Beautiful people on twitter, here is my pen sketch of  which I drew last year.
Please retweet🙏🏾

CHEWOL silho…",Burna Boy freestyling at my uni in 2009! 💫🔥 burnaboy  
7485,Currently listening to wizkid old album and it's jst so fire 🔥😎,"Burna boy didn't cap, Davido is a blessing to afrobeat ❤️🤴
DavidoAtO2 ",  follow for follow ✅✔️ interested persons🙏😚
7486,Yes!!! Made In Lagos is GOLD 🌟 Wizkid did what he had to do! GOAT doings 🐐, I need a RT from     for this timeless freestyle I recorded with my… ,  follow for follow ✅✔️ interested persons🙏😚
7487,Made in Lagos is 🔥🔥🔥 Wizkid madeinlagos,"These Artistes wall drawing deserves a million RTS 🤯🔥 (A Thread)

1. Davido ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7488,Wizkid’s Made in Lagos is one those  albums you can listen to in any mood. A rare gem 💎,Fuck'em Cause I Am!!! , Not too soon oo
7489,’s “True Love” track off the MIL album is such a soothing and effortlessly beautiful song. I can never next that…,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","3 years ago today,  released his third album ""OUTSIDE""

The critically acclaimed album containing one of Africa…"
7490,I’m deeply in love with Wizkid’s most recent album. More like obsessed ...🥺🔥 ,freestyle         … ,   follow for follow ✅✔️ interested persons🙏😚
7491,Wizkid has the best album last year,"This isn't Michael Jackson.... Its Just Davido pulling the biggest Crowd for An AfroBeat Artiste 🤯🤯🤯🤯
Davidoat02 …",  follow for follow ✅✔️ interested persons🙏😚
7492,"NowPlaying Cool Me Down (feat. Wizkid) By DJ Tunez dexradiolive Listen Live, click here : ","nowplaying The best of 2020 by Dj Spy via   

    …","The album that made unbelievers become believers 😎
OUTSIDE 

The album that birthed the name OUTSIDERS 🦍

Today makes it 3…"
7493,"Chris may not have children, but he certainly has baggage. Did he really ask that woman about her sex life AT the wedd…","US 🇺🇸 Apple Music Top 600 Albums.

112. WIZKID Made In Lagos 
512. AYRA STARR - Ayra Starr -EP
530. DAVIDO ABT 
558. Bur…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7494, It’s gonna drive Haley crazy,The crowd echoing Aye is giving us serious goosebumps 🥵😭😭. Can’t believe it’s been 2 years already since Davido sold out the…,   Ikr I slaughtered the pigs.. that's why they're sitting down crying on d floo… 
7495,"Link to wizkid's come closer ft drake 🎶
♥ 👇🎼🎧

 ","30BG 5PM Tomorrow  Ft  ""THE BEST"" Music Video!! Directed By 

Reply With 👿 If You Are Rea…","'s 'Real Life' Live performance on BBC Radio (1Xtra) is an evidence that he is born for this. 

|Wizkid | Nige…"
7496,"If you look up red flag in the dictionary this what you gonna see:

MarriedAtFirstSight MAFS ","Davido FEM had over 15 million views on YouTube in 1 month

Wizkid Ginger ft Burna Boy, aluminum skin teeth, played Ayo with…",gbwhatsapp Burnaboy Wizkid davido igboho 
7497,"Wizkid dropped an Album to last a long time, definitely not getting over ‘Made In Lagos’ too soon.", Na so I Dey take skip Davido fem,  follow for follow ✅✔️ interested persons🙏😚
7498,"Wizkid dropped an Album to last a long time, definitely not getting over ‘Made In Lagos’ too soon.","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…"," 
You are really African giant "
7499,Don’t dull!!! I’ll never forget hearing that for the first time. Also wow my younger self would be sooooo gassed to know tha…,"These Artistes wall drawing deserves a million RTS 🤯🔥 (A Thread)

1. Davido ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7500,We won’t realize what wizkid did on made in Lagos until 10 years to come. Save this tweet.,Casanova - 2AM ft. Davido,The beginning of the most unprecedented run in modern Nigerian music.
7501,The replay value on Wizkid’s Made In Lagos is unbelievable,    boss please watch this very special cover ,The beginning of the most unprecedented run in modern Nigerian music.
7502,WizKid did what he had to do on Made In Lagos,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,  follow for follow ✅✔️ interested persons🙏😚
7503, I don’t think he’s weird. A little socially awkward,      ,"Please bia , don’t rap . No come this side . Dey where you dey bros. Whaaaat ! 🔥🔥🔥"
7504,"Link to wizkid's Joro
🎼👇🎶
 ", The best,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7505, ,Never forget when Davido posted Wizkid MIL album. the numbers went up real quick and started trended. He is a king and always…," WATW NETWORKING ENTREPRENEURS GROUP ✨ and the whole 🇺🇸 LOVE, Love, Luv, ❤️  and u kno dat🇳🇬"
7506,I like Jacob. His house sounds cool.  marriedatfirstsight, feat  I can feel the jam in my head 🔥🔥🔥 straight up,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7507, 😂😂 that sounds expensive,"Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…","Top 200 Italy 🇮🇹 Airplay Chart(all genres) 📊
Afrobeats artists with the most all-time entries on the chart 
TOP 5 🏆 
1️⃣…"
7508,Wizkid tattoos says a lot about him 👀😈!!! , I need a RT from     for this timeless freestyle I recorded with my p… ,       … 
7509,"Link to wizkid's fever 🎶
♥ ♥ ♥ 👇🎼
 ", Best of the Best 3....,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7510," Davido ft Lil baby - so crazy 4m + views
Wizkid ft aluminum teeth- No stress 7m + 
Both in 2 months

As a tatib…", Always the best✊🌸🥶,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7511,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",Davido and Mayorkun on the best🐐🐐 ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7512,Retweet for Wizkid    Like for Buhari ,". Via His IG Story
Song: Davido’s Shopping Spree Ft.  &amp;  ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7513,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…","These Artistes wall drawing deserves a million RTS 🤯🔥 (A Thread)

1. Davido ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7514,Ghetto love is Wizkid most underrated song and it one of his best songs.,"Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…",       … 
7515,"Wizkid and don bazy
Forever 💞💞 ", I need a RT from     for this timeless freestyle I recorded with… ,"No bad song in this project, not one "
7516,"US 🇺🇸 Apple Music Top 600 Albums.

112. WIZKID Made In Lagos 
512. AYRA STARR - Ayra Starr -EP
530. DAVIDO ABT 
558. Bur…","“AYE” by  has 4,500,000+ Pandora streams🏆

30BG", Bro I will love meet you
7517,YouTube has responded to wizkid for buying views on youtube. Them don catch fraudchala😂🤣 ,"Energy 🔥🔥🔥 

Where can i find those Davido STAN, Mafia, and Warriors??? I hear say una head the hot.

I don't care if you follow…","The album that made unbelievers become believers 😎
OUTSIDE 

The album that birthed the name OUTSIDERS 🦍

Today makes it 3…"
7518,WizKid did what he had to do on Made In Lagos,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,  follow for follow ✅✔️ interested persons🙏😚
7519,The replay value on Wizkid’s Made In Lagos is unbelievable,I no hate o buh Davido is the first DavidoAt02,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7520,We won’t realize what wizkid did on made in Lagos until 10 years to come. Save this tweet.,I boost Instagram account followers at a very affordable price...If you're interested; Message me directly (DM) on… ," Watch this and thank me later💯💥💥💥💥💥
"
7521,"This was in 2016 when WIZKID won 3 MAMA AWARDS in south Africa 🇿🇦 
(Best Male act) (Best collaboration) and (African art…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",   follow for follow ✅✔️ interested persons🙏😚
7522,Y'all agree Reckless is the hardest wizkid intro for now ? 🤔, They don't know whenever you say positive it always.go a long way you are the GOAT and the best always and forever king 👑 david,  Aje
7523,"WizKid will perform a leak song and A 20K capacity venue will sing word for word.

Do am if e easy",TB to this beautiful day with  ❤️ ," Follow me, I follow back"
7524,"Top Ten Most Streamed Nigerian Record Label songs on Spotify.

1. Starboy -soco- 50,377,350
2. Starboy ft.Wizkid &amp; Dunca…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,   follow for follow ✅✔️ interested persons🙏😚
7525,Wizkid Like You've Never Seen Him Before | A Day In The Live  via ,"Today 2yrs ago, Davido singlehandedly shutdown the O2 Arena. 
Turned O2 to O3 and it's the greatest moment in the history o…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7526,Nicki Minaj didn’t come closer for the video but no one is talking cos it’s not Wizkid 🤔 let’s keep it Holy 🙏🏽,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…"," Follow me, I follow back"
7527,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","    

Please 🤍like the pictures"," Follow me,I follow back"
7528,You’re not a white man. Please do not put your entire life savings into these stocks., DavidoAtO2,"Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
7529,"I’ve been watching MAFS for awhile  and I can’t recall a more intrusive convo this early on. Contraceptives, are you a…",GREATEST OF ALL TIME  🐐,"Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
7530,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…", Please do this again with Davido 🙏,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7531,Nicki Minaj didn’t come closer for the video but no one is talking cos it’s not Wizkid 🤔 let’s keep it Holy 🙏🏽,"   It be like say Davido don personally visit you before, because the way you carry his… ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7532, And she had 3 more weddings to attend after her own,i automatically do not trust you if you tell me you don’t listen to Davido.,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7533,"Now Playing - Larry Gaaga ft. Wizkid - Low || 
Listen at 
Music… ","There is no Artiste in Nigeria that will perform their first single Abroad and get this type of reactio

Davido shut do…", your music definitely reaches heaven and our hearts ♥️ fan4life
7534,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",when i listen to Davido it just clears my mind and puts me in such a good vibe 🤗,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7535,"STARBOY - SOUNDMAN FEAT. WIZKID &amp; VARIOUS ARTISTES ON APPLE MUSIC!
WIZKIDFCHL
",GREATEST OF ALL TIME  🐐 ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7536,"Juga be like, that time wey cuppy dey use cup drink wine, na me and wizkid dey run things for cuppy that time for s… ","Davido's vocals is top notch😭🤧🤧😂

", The best you’ve thought us . Heavens gate
7537,"Wizkid’s album Made in Lagos is so good that there is a song for every moment. Classic body of work  

I find my se…","On this day 2 years ago Davido made history as the first Afrobeat artist to sell out the Biggest music arena in the UK ""O2 A…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7538,"6. Starboy ft. Wizkid - Electric - 4,229,751
7. Starboy Ft Wizkid &amp; Blaq Jerzee - Blow - 4,226,868
8. DMW ft Davido - Bu…","A Better Time &amp; A Good Time by Davido are both really good albums and you can’t make me choose one. it’s impossible, too many…",👀🔥 Rare footage of  freestyling at University in 2009!  
7539,"Top Ten Most Streamed Nigerian Record Label songs on Spotify.

1. Starboy -soco- 50,377,350
2. Starboy ft.Wizkid &amp; Dunca…",Since Davido never drop new video pengman never see content post for e dead YouTube account. Na we Dey give dem life,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7540,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","30BG 5PM Tomorrow  Ft  ""THE BEST"" Music Video!! Directed By 

Reply With 👿 If You Are Rea…","Throwback to when Burnaboy's YE got Rihanna in her feelings..
outside

🔥🔥 🔥🔥 🔥🔥 🔥🔥 🔥 "
7541, Yes! They would have been good together!,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"  5,6,7,8"
7542,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",".'s  FALL Has Now Grossed 194 Million Views on YouTube. 

~ Road to 200m 🏆 🏆
30BG","Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
7543,Don’t dull!!! I’ll never forget hearing that for the first time. Also wow my younger self would be sooooo gassed to know tha…,"Wizkid performed joro buh Naira Marley's ""Soapy"" got more reaction than joro .. e be what 

Davido stole his show Davi…","Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
7544,"Guys we made a Short Film About the SouthernKadunaMassacre Titled ""Bloody July"" I want y'all to Watch and Share. Pls…", Davido the goat,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7545, I think Olivia and Henry should’ve been matched tho!," Those others are they ones that really doesn't count. 

Bro live jor!",3 Years Outside: Appreciating ’s peerless creative run since his rebirth. 
7546, Right🤦🏽‍♀️,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"NIGERIAN ARTISTES ON US APPLE MUSIC 📈 

88*  Made In Lagos 

347*  AyraStarrEP

393*  A Be…"
7547,"WizKid will perform a leak song and A 20K capacity venue will sing word for word.

Do am if e easy",Even when you are the best.Smh ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
7548, Yeah Olivia was married to Brett, I need a RT from     for this timeless freestyle I recorded w… ,I thought numbers didn't matter 🤔 
